a,b,name_a,name_b,freq,median_faces
1001,1008,lh-bankssts,lh-inferiorparietal,1.0,81.0
2006,2007,rh-entorhinal,rh-fusiform,1.0,258.5
2001,2030,rh-bankssts,rh-superiortemporal,1.0,191.0
2002,2026,rh-caudalanteriorcingulate,rh-rostralanteriorcingulate,1.0,88.0
2002,2028,rh-caudalanteriorcingulate,rh-superiorfrontal,1.0,191.5
2003,2024,rh-caudalmiddlefrontal,rh-precentral,1.0,250.0
2003,2027,rh-caudalmiddlefrontal,rh-rostralmiddlefrontal,1.0,229.0
2003,2028,rh-caudalmiddlefrontal,rh-superiorfrontal,1.0,180.5
2005,2011,rh-cuneus,rh-lateraloccipital,1.0,101.5
2005,2021,rh-cuneus,rh-pericalcarine,1.0,153.0
2005,2025,rh-cuneus,rh-precuneus,1.0,196.5
2005,2029,rh-cuneus,rh-superiorparietal,1.0,120.0
2006,2016,rh-entorhinal,rh-parahippocampal,1.0,101.5
1019,1027,lh-parsorbitalis,lh-rostralmiddlefrontal,1.0,153.0
2007,2009,rh-fusiform,rh-inferiortemporal,1.0,800.5
2007,2011,rh-fusiform,rh-lateraloccipital,1.0,241.5
2007,2013,rh-fusiform,rh-lingual,1.0,321.5
2007,2016,rh-fusiform,rh-parahippocampal,1.0,314.5
2008,2011,rh-inferiorparietal,rh-lateraloccipital,1.0,290.5
2008,2015,rh-inferiorparietal,rh-middletemporal,1.0,195.5
2008,2029,rh-inferiorparietal,rh-superiorparietal,1.0,363.5
2008,2031,rh-inferiorparietal,rh-supramarginal,1.0,243.0
2009,2011,rh-inferiortemporal,rh-lateraloccipital,1.0,171.0
2009,2015,rh-inferiortemporal,rh-middletemporal,1.0,848.5
2001,2015,rh-bankssts,rh-middletemporal,1.0,208.5
2001,2008,rh-bankssts,rh-inferiorparietal,1.0,102.0
2000,2016,rh-unknown,rh-parahippocampal,1.0,61.0
2000,2006,rh-unknown,rh-entorhinal,1.0,154.5
1022,1024,lh-postcentral,lh-precentral,1.0,454.0
1022,1029,lh-postcentral,lh-superiorparietal,1.0,164.5
1022,1031,lh-postcentral,lh-supramarginal,1.0,338.5
1022,1035,lh-postcentral,lh-insula,1.0,86.0
1023,1025,lh-posteriorcingulate,lh-precuneus,1.0,96.0
1023,1028,lh-posteriorcingulate,lh-superiorfrontal,1.0,109.0
1024,1028,lh-precentral,lh-superiorfrontal,1.0,158.5
1024,1035,lh-precentral,lh-insula,1.0,56.0
1025,1029,lh-precuneus,lh-superiorparietal,1.0,368.0
1026,1028,lh-rostralanteriorcingulate,lh-superiorfrontal,1.0,185.0
1001,1015,lh-bankssts,lh-middletemporal,1.0,249.0
1027,1028,lh-rostralmiddlefrontal,lh-superiorfrontal,1.0,408.5
1027,1032,lh-rostralmiddlefrontal,lh-frontalpole,1.0,96.0
1028,1032,lh-superiorfrontal,lh-frontalpole,1.0,88.5
1029,1031,lh-superiorparietal,lh-supramarginal,1.0,106.5
1030,1031,lh-superiortemporal,lh-supramarginal,1.0,248.5
1030,1033,lh-superiortemporal,lh-temporalpole,1.0,192.5
1030,1034,lh-superiortemporal,lh-transversetemporal,1.0,262.0
1030,1035,lh-superiortemporal,lh-insula,1.0,174.0
1031,1035,lh-supramarginal,lh-insula,1.0,64.0
1034,1035,lh-transversetemporal,lh-insula,1.0,80.0
2010,2013,rh-isthmuscingulate,rh-lingual,1.0,120.0
2010,2023,rh-isthmuscingulate,rh-posteriorcingulate,1.0,87.0
2010,2025,rh-isthmuscingulate,rh-precuneus,1.0,372.0
2019,2020,rh-parsorbitalis,rh-parstriangularis,1.0,161.0
2020,2027,rh-parstriangularis,rh-rostralmiddlefrontal,1.0,170.5
2022,2024,rh-postcentral,rh-precentral,1.0,414.0
2022,2029,rh-postcentral,rh-superiorparietal,1.0,149.0
2022,2031,rh-postcentral,rh-supramarginal,1.0,335.0
2022,2035,rh-postcentral,rh-insula,1.0,82.0
2023,2025,rh-posteriorcingulate,rh-precuneus,1.0,86.0
2023,2028,rh-posteriorcingulate,rh-superiorfrontal,1.0,115.0
2024,2028,rh-precentral,rh-superiorfrontal,1.0,161.5
2024,2035,rh-precentral,rh-insula,1.0,51.0
2025,2029,rh-precuneus,rh-superiorparietal,1.0,382.5
2026,2028,rh-rostralanteriorcingulate,rh-superiorfrontal,1.0,118.0
2027,2028,rh-rostralmiddlefrontal,rh-superiorfrontal,1.0,374.5
2027,2032,rh-rostralmiddlefrontal,rh-frontalpole,1.0,126.0
2028,2032,rh-superiorfrontal,rh-frontalpole,1.0,63.0
2029,2031,rh-superiorparietal,rh-supramarginal,1.0,84.0
2030,2031,rh-superiortemporal,rh-supramarginal,1.0,197.0
2030,2033,rh-superiortemporal,rh-temporalpole,1.0,168.5
2030,2034,rh-superiortemporal,rh-transversetemporal,1.0,215.5
2030,2035,rh-superiortemporal,rh-insula,1.0,161.0
2031,2035,rh-supramarginal,rh-insula,1.0,80.0
2033,2035,rh-temporalpole,rh-insula,1.0,88.0
2019,2027,rh-parsorbitalis,rh-rostralmiddlefrontal,1.0,173.0
2018,2035,rh-parsopercularis,rh-insula,1.0,101.5
2011,2013,rh-lateraloccipital,rh-lingual,1.0,187.5
2018,2027,rh-parsopercularis,rh-rostralmiddlefrontal,1.0,85.0
2011,2021,rh-lateraloccipital,rh-pericalcarine,1.0,76.0
2011,2029,rh-lateraloccipital,rh-superiorparietal,1.0,144.0
2012,2014,rh-lateralorbitofrontal,rh-medialorbitofrontal,1.0,273.0
2012,2019,rh-lateralorbitofrontal,rh-parsorbitalis,1.0,235.5
2012,2020,rh-lateralorbitofrontal,rh-parstriangularis,1.0,63.0
2012,2027,rh-lateralorbitofrontal,rh-rostralmiddlefrontal,1.0,99.0
2012,2035,rh-lateralorbitofrontal,rh-insula,1.0,370.0
2013,2016,rh-lingual,rh-parahippocampal,1.0,113.0
2013,2021,rh-lingual,rh-pericalcarine,1.0,245.5
2013,2025,rh-lingual,rh-precuneus,1.0,92.0
2014,2026,rh-medialorbitofrontal,rh-rostralanteriorcingulate,1.0,282.5
2014,2028,rh-medialorbitofrontal,rh-superiorfrontal,1.0,130.0
2014,2032,rh-medialorbitofrontal,rh-frontalpole,1.0,150.5
2015,2030,rh-middletemporal,rh-superiortemporal,1.0,453.0
2017,2022,rh-paracentral,rh-postcentral,1.0,54.0
2017,2023,rh-paracentral,rh-posteriorcingulate,1.0,168.0
2017,2024,rh-paracentral,rh-precentral,1.0,116.5
2017,2025,rh-paracentral,rh-precuneus,1.0,91.5
2017,2028,rh-paracentral,rh-superiorfrontal,1.0,143.0
2018,2020,rh-parsopercularis,rh-parstriangularis,1.0,190.5
2018,2024,rh-parsopercularis,rh-precentral,1.0,260.0
1020,1027,lh-parstriangularis,lh-rostralmiddlefrontal,1.0,132.0
2034,2035,rh-transversetemporal,rh-insula,1.0,75.0
1019,1020,lh-parsorbitalis,lh-parstriangularis,1.0,148.5
1012,1020,lh-lateralorbitofrontal,lh-parstriangularis,1.0,93.0
1017,1024,lh-paracentral,lh-precentral,1.0,130.0
